GRAND,NAME,RIVER,STATE,YEAR,HEIGHT,LEN,AREA_SKM,CAP_MCM,DIS_AVG_LS,MAIN_USE,QUALITY,LONG,LAT
232,Whale Rock,Old Creek,California,1960,59,259,2.04,50.2,372,Irrigation,2: Good,-120.884956,35.448964
226,B.F. Sisk,San Luis Creek,California,1967,116,594,48.76,2419.3,470,Irrigation,2: Good,-121.082393,37.067455
227,Uvas,Uvas Creek,California,1957,36,335,0.94,12.3,572,Irrigation,2: Good,-121.691241,37.065915
228,Los Banos Creek Detention Dam,Los Banos Creek,California,1965,51,580,1.45,32.4,761,Flood control,2: Good,-120.933041,36.991883
157,Boca,Little Truckee River,California,1939,35,580,2.04,50.7,6643,Irrigation,2: Good,-120.095694,39.391436
158,New Bullards Bar,North Yuba River,California,1970,194,677,14.49,1196,27450,Irrigation,2: Good,-121.142593,39.393473
159,Lake Fordyce,Fordyce Creek,California,1873,44,294,2.05,60.3,1480,Water supply,2: Good,-120.496074,39.380461
160,Prosser Creek,Prosser Creek,California,1962,50,581,1.29,35.3,2355,Flood control,2: Good,-120.141076,39.3785
153,Independence,Independence Creek,California,1939,9,258,2.75,22.8,416,Water supply,2: Good,-120.290738,39.450598
154,Bowman,Canyon Creek,California,1927,53,122,2.93,78.9,1654,Irrigation,2: Good,-120.651504,39.449205
155,French Lake,Canyon Creek,California,1948,30,91,1.3,17,261,Irrigation,2: Good,-120.538742,39.419618
156,Scott,Eel River,California,1921,42,248,7.45,90,13635,Water supply,2: Good,-122.955096,39.410033
149,Thermalito Forebay,Offstream Feather River,California,1967,28,4846,2.07,14.6,292,Hydroelectricity,2: Good,-121.626157,39.515671
150,Jackson Meadows,Middle Fork of Yuba River,California,1965,59,466,3.83,64.8,1942,Irrigation,2: Good,-120.554463,39.508632
151,Stampede,Little Truckee River,California,1970,73,580,12.93,273.3,5427,Flood control,2: Good,-120.106838,39.473759
152,Thermalito Afterbay,Offstream Feather River,California,1967,12,12802,12.53,70.3,888,Water supply,2: Good,-121.644792,39.457142
145,Little Grass Valley,South Fork of Feather River,California,1961,64,256,5.89,114.7,1405,Irrigation,2: Good,-121.017848,39.724074
146,Stony Gorge,Stony Creek,California,1928,47,580,4.11,62.1,11662,Irrigation,2: Good,-122.530468,39.585442
147,Sly Creek,Lost Creek,California,1961,83,640,2.18,80.2,1335,Irrigation,2: Good,-121.113718,39.582613
148,Oroville,Feather River,California,1968,235,2109,45.55,4366.5,134108,Flood control,2: Good,-121.481218,39.539616
141,Frenchman,Little Last Chance Creek,California,1961,39,219,5.28,68.4,1083,Irrigation,2: Good,-120.191195,39.8944
142,Grizzly Valley,Big Grizzly Creek,California,1966,35,244,17.85,102.4,1338,Recreation,2: Good,-120.47787,39.885247
143,Paradise,Little Butte Creek,California,1957,53,524,0.74,14.2,322,Irrigation,2: Good,-121.577083,39.852783
144,Black Butte Dam,Stoney Creek,California,1963,48,905,10.34,177.3,24677,Flood control,2: Good,-122.339583,39.814583
137,Antelope,Indian Creek,California,1964,34,402,2.96,27.8,1461,Recreation,2: Good,-120.605896,40.18168
138,Lake Almanor,North Fork of Feather River,California,1927,40,381,102.87,1613.4,15561,Irrigation,2: Good,-121.087815,40.174792
139,Butt Valley,Butt Creek,California,1924,32,452,6.07,61.4,3479,Irrigation,2: Good,-121.144792,40.115902
140,Bucks Storage,Bucks Creek,California,1928,37,372,6.89,127,1537,Irrigation,2: Good,-121.201337,39.897279
133,Whiskeytown,Clear Creek,California,1963,86,581,11.08,263.4,11922,Hydroelectricity,2: Good,-122.540564,40.599432
134,Mccoy Flat,Susan River,California,1891,6,198,6.75,21.3,1524,Irrigation,2: Good,-120.942659,40.453906
135,Robert W. Matthews,Mad River,California,1962,46,192,4.29,63.9,9825,Recreation,2: Good,-123.432155,40.367331
136,Indian Ole,Hamilton Creek,California,1924,8,80,18.71,30.6,2953,Water supply,2: Good,-121.023036,40.282206
129,Pit 7,Pit River,California,1965,70,235,0.75,42.1,56879,Water supply,2: Good,-121.989195,40.848975
130,Heath Dam,Slate Creek,California,1965,14,494,1.52,10.7,196,Irrigation,2: Good,-120.785642,40.839734
131,Trinity,Trinity River,California,1962,164,581,56.28,2633.5,41008,Irrigation,2: Good,-122.760687,40.802949
132,Shasta,Sacramento River,California,1945,183,582,102.47,4890.7,127250,Irrigation,2: Good,-122.422031,40.720459
189,Jackson Creek,Jackson Creek,California,1965,59,347,1.13,27.1,1802,Irrigation,2: Good,-120.888188,38.304594
190,Pardee,Mokelumne River,California,1929,105,408,8.21,244.2,25083,Water supply,2: Good,-120.850562,38.257854
191,Camanche,Mokelumne River,California,1963,52,732,28.07,514.5,26117,Water supply,2: Good,-121.022487,38.22259
192,Beardsley,Middle Fork of Stanislaus River,California,1957,87,305,1.83,120.6,11443,Hydroelectricity,2: Good,-120.072817,38.206297
185,Monticello,Putah Creek,California,1957,93,580,66.28,1963.6,20725,Irrigation,2: Good,-122.106948,38.513668
187,Conn Creek,Conn Creek,California,1946,38,213,2.79,38.2,1787,Irrigation,2: Good,-122.38011,38.48687
188,Lake Curry,Gordon Valley Creek,California,1926,33,174,1.21,13.2,489,Water supply,2: Good,-122.124379,38.358061
181,Sly Park,Sly Park Creek,California,1955,58,580,2.45,50.1,804,Irrigation,2: Good,-120.568702,38.719078
182,Folsom,American River,California,1955,104,580,33.68,1102.7,93684,Irrigation,2: Good,-121.156241,38.710426
183,Caples Lake,Trib. Silver Fork,California,1922,22,366,2.37,26.6,440,Water supply,2: Good,-120.047917,38.706229
184,Lower Bear,Bear River,California,1952,75,562,2.12,66.6,1480,Hydroelectricity,2: Good,-120.254546,38.537099
177,Mark Edson,Pilot Creek,California,1962,49,375,1.33,24.7,722,Irrigation,2: Good,-120.602019,38.902035
178,Union Valley,Silver Creek,California,1963,138,549,8.05,283.7,3630,Recreation,2: Good,-120.439328,38.867879
179,Ice House,South Fork of Silver Creek,California,1959,46,439,2.57,45.8,1178,Recreation,2: Good,-120.361604,38.824184
180,Warm Springs Dam,Dry Creek,California,1982,109,914,8.79,553.8,9132,Flood control,2: Good,-123.011209,38.718758
173,Indian Valley,North Fork of Cache Creek,California,1975,69,294,14.04,442.8,5570,Irrigation,2: Good,-122.535917,39.082147
174,Lower Hell Hole,Rubicon River,California,1966,125,472,3.14,257.1,5749,Irrigation,2: Good,-120.407324,39.061146
175,Camp Far West,Bear River,California,1963,56,640,6.57,128.9,14828,Irrigation,2: Good,-121.314531,39.052137
176,Loon Lake,Gerle Creek,California,1963,33,698,4.66,94.4,287,Water supply,2: Good,-120.309375,39.001324
169,Coyote Valley Dam,East Fork of Russian River,California,1959,55,1074,6.75,191.8,6548,Flood control,2: Good,-123.180998,39.197467
170,Lake Tahoe,Truckee River,California,1913,6,579,495.62,902.9,18851,Irrigation,2: Good,-120.141773,39.160972
171,Rollins,Bear River,California,1965,69,561,2.44,81.4,6692,Water supply,2: Good,-120.95432,39.137297
172,L.L. Anderson,Middle Fork of American River,California,1965,70,823,4.76,137.3,2681,Irrigation,2: Good,-120.46816,39.110417
165,Donner Lake,Donner Creek,California,1927,5,14,3.18,12.7,780,Irrigation,2: Good,-120.241002,39.323946
166,Lake Valley,Trib. North Fork of American River,California,1911,23,287,0.99,10,282,Irrigation,2: Good,-120.597303,39.301055
167,Scotts Flat,Deer Creek,California,1948,53,299,2.51,60.4,1142,Irrigation,2: Good,-120.929889,39.27364
168,Harry L. Englebright Dam,Yuba River,California,1941,85,348,2.77,86.3,66756,Other,2: Good,-121.269088,39.241269
161,East Park,Little Stony Creek,California,1910,42,579,6.12,62.4,3837,Irrigation,2: Good,-122.51038,39.360383
162,Lake Spaulding,South Fork of Yuba River,California,1913,84,244,1.91,92.2,7194,Water supply,2: Good,-120.642108,39.327475
164,Virginia Ranch,Dry Creek,California,1963,46,823,3.35,70.3,3132,Irrigation,2: Good,-121.311458,39.324244
93,Dexter,Middle Fork of Willamette River,Oregon,1955,36,843,3.43,36.9,88172,Hydroelectricity,2: Good,-122.805208,43.922071
94,Lookout Point,Middle Fork of Willamette River,Oregon,1953,84,968,11.45,589.2,87502,Flood control,2: Good,-122.750316,43.913909
95,Siltcoos Lake,Siltcoos River,Oregon,1964,4,40,11.96,18.6,7945,Other,2: Good,-124.112624,43.884069
96,Tahkenitch Lake,Tahkenitch Creek,Oregon,1964,4,40,6.37,20.5,3958,Other,2: Good,-124.147263,43.806102
89,Cougar,South Fork of Mckenzie River,Oregon,1964,158,488,2.83,270.1,19525,Hydroelectricity,2: Good,-122.240036,44.126141
90,Fern Ridge,Long Tom River,Oregon,1941,15,2015,26.69,149.3,23230,Flood control,2: Good,-123.296875,44.117518
91,Arthur R. Bowman,Crooked River,Oregon,1960,75,580,8.47,188.5,12392,Irrigation,2: Good,-120.78475,44.111562
92,Fall Creek,Fall Creek,Oregon,1965,62,1539,3.29,154.2,17550,Flood control,2: Good,-122.7552,43.944837
85,Foster,South Santiam River,Oregon,1967,38,1463,3.15,75.2,62517,Hydroelectricity,2: Good,-122.668049,44.418013
87,Ochoco,Ochoco Creek,Oregon,1920,41,580,3,57.4,2355,Irrigation,2: Good,-120.722554,44.298084
88,Blue River Dam,Blue River,Oregon,1968,95,381,2.39,109.8,10300,Flood control,2: Good,-122.328125,44.17358
81,Pelton,Deschutes,Oregon,1957,62,237,1.61,39.2,143762,Hydroelectricity,2: Good,-121.231063,44.692737
82,Round Butte,Deschutes,Oregon,1964,134,442,15.21,659.9,139455,Hydroelectricity,2: Good,-121.281138,44.601372
83,Green Peter,Middle Santiam River,Oregon,1967,115,462,11.04,530.4,36600,Flood control,2: Good,-122.547437,44.451859
77,North Fork,Clackamas,Oregon,1958,63,206,0.85,23,71109,Hydroelectricity,2: Good,-122.278125,45.244019
78,Wasco,Clear Creek,Oregon,1958,18,579,1.9,14.7,785,Irrigation,2: Good,-121.690853,45.17581
79,Timothy Lake,Oak Grove,Oregon,1956,30,226,5.47,85.1,4415,Hydroelectricity,2: Good,-121.804462,45.115163
80,Detroit,North Santiam River,Oregon,1953,141,482,8.45,561.2,52032,Hydroelectricity,2: Good,-122.247917,44.719354
73,Bull Run Lake Dam,Bull Run River,Oregon,1965,17,46,1.66,17.9,392,Water supply,2: Good,-121.842949,45.45963
74,Bull Run Reservoir Dam 2,Bull Run River,Oregon,1962,44,274,1.19,30.8,12152,Water supply,2: Good,-122.147373,45.447907
75,Trask River Dam,North Fork of Trask River,Oregon,1998,50,762,1.26,24.7,732,Water supply,2: Good,-123.396394,45.446009
76,Lake Oswego,Offstream Tualatin River,Oregon,1921,10,37,1.3,12.1,675,Hydroelectricity,2: Good,-122.670669,45.410928
71,Bull Run Reservoir Dam 1,Bull Run River,Oregon,1929,61,296,1.28,41.6,8707,Water supply,2: Good,-122.080702,45.48446
72,Scoggins Reservoir,Scoggins Creek,Oregon,1975,46,823,4.04,74,4238,Irrigation,2: Good,-123.199777,45.47449
65,Mayfield,Cowlitz River,Washington,1963,76,259,7.38,219.6,170801,Hydroelectricity,2: Good,-122.587665,46.503741
66,Cowlitz Falls Dam,Cowlitz River,Washington,1993,43,244,1.13,18.5,137475,Hydroelectricity,2: Good,-122.100254,46.465662
68,Swift 1,Lewis,Washington,1958,122,640,16.64,931.9,60691,Hydroelectricity,2: Good,-122.196295,46.061944
125,Tule Lake,Cedar Creek,California,1904,5,335,10.14,48.7,169,Irrigation,2: Good,-120.369363,41.080791
